    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 5033,       6232896,         6227875,           9428,     96108,       18035,        467,   12663028,      6227875,       27525,   108602,      57596,       695
 5034,       6233091,         6228069,           9502,     94426,       18143,        530,   12668061,      6228069,       26749,   108583,      57624,       520
 5035,       6237609,         6232586,           9319,     95334,       18196,        700,   12673095,      6232586,       28202,   108556,      57585,       549
 5036,       6240172,         6235148,           9134,    103487,       17847,        668,   12678130,      6235148,       28018,   108624,      57649,       518
 5037,       6243017,         6237992,           9846,     93212,       18106,        509,   12683166,      6237992,       27924,   108590,      57642,       501
 5038,       6244755,         6239729,           9740,     93300,       18090,        545,   12688203,      6239729,       28061,   108684,      57676,       523
 5039,       6249201,         6244174,           9995,    101481,       17850,        579,   12693241,      6244174,       27620,   108613,      57635,       633
 5040,       6250957,         6245929,           8711,     93702,       18247,        529,   12698280,      6245929,       29190,   108685,      57682,       476
 5041,       6255575,         6250546,           9933,     92518,       18268,        587,   12703320,      6250546,       30619,   108714,      57692,       572
 5042,       6257704,         6252674,          10061,     96624,       18041,        531,   12708361,      6252674,       32625,   108742,      57691,       523
 5043,       6259475,         6254444,          11041,     96483,       18072,        708,   12713403,      6254444,       30045,   108768,      57702,       521
 5044,       6261939,         6256907,           9362,     93262,       18239,        566,   12718446,      6256907,       28643,   108800,      57743,       514
 5045,       6263930,         6258897,          11970,     96000,       18108,        509,   12723490,      6258897,       31623,   108810,      57738,       533
 5046,       6264575,         6259541,          10062,     99291,       18126,        697,   12728535,      6259541,       29564,   108817,      57686,       552
 5047,       6266566,         6261531,           9137,     93919,       18174,        627,   12733581,      6261531,       29458,   108799,      57706,       575
 5048,       6269599,         6264563,           8830,     99538,       18094,        503,   12738628,      6264563,       28735,   108931,      57771,       554
 5049,       6272973,         6267936,          10115,     98311,       17966,        531,   12743676,      6267936,       28254,   108824,      57727,       498
 5050,       6274552,         6269514,           9844,     98132,       17997,        549,   12748725,      6269514,       27178,   108944,      57801,       459
 5051,       6279382,         6274343,          10215,     93944,       18094,        525,   12753775,      6274343,       31630,   108914,      57786,       575
 5052,       6279748,         6274708,          10678,     92765,       18313,        545,   12758826,      6274708,       35802,   109063,      57863,       513
 5053,       6283307,         6278266,          11060,     98771,       18048,        495,   12763878,      6278266,       31939,   109080,      57890,       507
 5054,       6286948,         6281906,           9803,     97479,       18068,        544,   12768931,      6281906,       26701,   109029,      57852,       508
 5055,       6287559,         6282516,           7844,     98157,       18107,        442,   12773985,      6282516,       24935,   109070,      57863,       556
 5056,       6290017,         6284973,           8724,    100964,       17921,        496,   12779040,      6284973,       27001,   109009,      57848,       446
 5057,       6291786,         6286741,           8874,     99586,       18064,        479,   12784096,      6286741,       23862,   109124,      57886,       435
 5058,       6291924,         6286878,           7850,     92259,       18386,        430,   12789153,      6286878,       25062,   109170,      57885,       447
 5059,       6296342,         6291295,           8020,     92740,       18363,        454,   12794211,      6291295,       25068,   109205,      57917,       617
 5060,       6298419,         6293371,           8687,     98153,       18011,        446,   12799270,      6293371,       24816,   109202,      57951,       434
 5061,       6299030,         6293981,           7921,     98692,       18046,        466,   12804330,      6293981,       25068,   109255,      57988,       434
 5062,       6301974,         6296924,           8072,     94941,       18278,        451,   12809391,      6296924,       25772,   109251,      57964,       457
 5063,       6303648,         6298597,           8117,     99838,       18291,        499,   12814453,      6298597,       24986,   109362,      58039,       437
 5064,       6308484,         6303432,           8187,     97627,       18098,        440,   12819516,      6303432,       24419,   109307,      58018,       446
 5065,       6312280,         6307227,           8042,     95991,       18171,        461,   12824580,      6307227,       24556,   109311,      57993,       474
